protocol,step,conc_mg_ml,rate_ml_h,time,volume_per_step_ml,dose_per_step_mg,cumulative_dose_mg
3-bag,1,0.008,2.5,15,0.625,0.005,0.005
3-bag,2,0.008,5,15,1.25,0.01,0.015
3-bag,3,0.008,10,15,2.5,0.02,0.035
3-bag,4,0.008,20,15,5,0.04,0.075
3-bag,5,0.08,5,15,1.25,0.1,0.175
3-bag,6,0.08,10,15,2.5,0.2,0.375
3-bag,7,0.08,20,15,5,0.4,0.775
3-bag,8,0.08,40,15,10,0.8,1.575
3-bag,9,0.8,10,15,2.5,2,3.575
3-bag,10,0.8,20,15,5,4,7.575
3-bag,11,0.8,40,15,10,8,15.575
3-bag,12,0.8,80,172.9,230.5,184.425,200
1-bag,1,0.8,0.1,15,0.03,0.02,0.02
1-bag,2,0.8,0.2,15,0.05,0.04,0.06
1-bag,3,0.8,0.4,15,0.1,0.08,0.14
1-bag,4,0.8,0.8,15,0.2,0.16,0.3
1-bag,5,0.8,1.5,15,0.38,0.3,0.6
1-bag,6,0.8,3,15,0.8,0.6,1.2
1-bag,7,0.8,6,15,1.5,1.2,2.4
1-bag,8,0.8,12.5,15,3.1,2.5,4.9
1-bag,9,0.8,25,15,6.3,5,9.9
1-bag,10,0.8,50,15,12.5,10,19.9
1-bag,11,0.8,100,15,25,20,39.9
1-bag,12,0.8,200,15,50,40,79.9
1-bag,13,0.8,350,25.7,150.1,120.1,200
